route-idx,coordinates
89,"[(164, 114), (165, 114), (166, 114), (166, 115), (166, 116), (166, 117), (166, 118), (165, 118), (165, 119), (164, 119), (164, 120), (163, 120), (163, 121), (162, 121), (161, 121), (160, 121), (159, 121), (159, 122), (158, 122), (157, 122), (157, 123), (156, 123), (155, 123), (155, 124), (154, 124), (154, 125), (153, 125), (152, 125), (151, 125), (150, 125), (149, 125), (148, 125), (148, 124), (147, 124), (147, 123), (146, 123), (145, 123), (144, 123), (143, 123), (143, 124), (142, 124), (142, 125), (142, 126), (141, 126), (141, 127), (141, 128), (140, 128), (140, 129), (140, 130), (139, 130), (139, 131), (138, 131), (138, 132), (137, 132), (136, 132), (136, 133), (135, 133), (135, 134), (134, 134), (133, 134), (133, 135), (133, 136), (133, 137), (133, 138), (134, 138), (135, 138), (135, 137), (136, 137), (136, 137)]"
90,"[(63, 33), (64, 33), (65, 33), (66, 33), (66, 34), (66, 35), (67, 35), (67, 36), (67, 37), (68, 37), (68, 38), (68, 39), (69, 39), (69, 40), (69, 41), (70, 41), (70, 42), (70, 43), (71, 43), (71, 44), (71, 45), (72, 45), (72, 46), (73, 46), (73, 47), (74, 47), (74, 48), (74, 49), (75, 49), (75, 50), (76, 50), (76, 51), (76, 52), (77, 52), (77, 53), (77, 54), (78, 54), (78, 55), (78, 56), (79, 56), (79, 57), (80, 57), (80, 58), (81, 58), (81, 59), (81, 60), (81, 61), (82, 61), (82, 62), (83, 62), (83, 63), (84, 63), (84, 64), (85, 64), (85, 65), (85, 66), (86, 66), (86, 67), (86, 68), (86, 69), (86, 70), (86, 71), (85, 71), (85, 72), (85, 73), (86, 73), (86, 74), (86, 75), (87, 75), (87, 76), (88, 76), (88, 77), (88, 78), (89, 78), (89, 79), (90, 79), (90, 80), (91, 80), (91, 81), (91, 82), (91, 83), (91, 84), (91, 85), (90, 85), (90, 86), (90, 87), (90, 88), (89, 88), (89, 89), (89, 90), (90, 90), (91, 90), (92, 90), (92, 91), (92, 92), (93, 92), (93, 93), (93, 94), (93, 95), (93, 96), (93, 97), (93, 98), (93, 99), (93, 100), (94, 100), (94, 101), (94, 102), (94, 103), (95, 103), (95, 104), (95, 105), (96, 105), (96, 106), (96, 107), (97, 107), (97, 108), (97, 109), (98, 109), (98, 110), (99, 110), (99, 111), (99, 112), (100, 112), (100, 113), (101, 113), (101, 114), (102, 114), (102, 115), (103, 115), (103, 116), (103, 117), (104, 117), (104, 118), (105, 118), (105, 119), (106, 119), (106, 120), (106, 121), (107, 121), (107, 122), (107, 123), (108, 123), (108, 124), (108, 125), (109, 125), (109, 126), (110, 126), (110, 127), (111, 127), (111, 128), (112, 128), (112, 129), (112, 130), (113, 130), (113, 131), (113, 132), (114, 132), (115, 132), (115, 133), (115, 134), (115, 135), (114, 135), (114, 136), (114, 137), (114, 138), (114, 139), (114, 140), (115, 140), (115, 141), (115, 142), (115, 143), (115, 144), (114, 144), (114, 145), (114, 146), (114, 147), (114, 148), (115, 148), (115, 149), (115, 150), (115, 151), (116, 151), (116, 151)]"
91,"[(52, 41), (53, 41), (54, 41), (55, 41), (55, 42), (56, 42), (56, 43), (56, 44), (57, 44), (58, 44), (58, 44)]"
92,"[(45, 68), (45, 69), (46, 69), (47, 69), (47, 70), (48, 70), (48, 71), (49, 71), (49, 72), (50, 72), (50, 73), (51, 73), (51, 74), (52, 74), (52, 75), (53, 75), (54, 75), (54, 76), (55, 76), (56, 76), (57, 76), (57, 75), (58, 75), (58, 74), (59, 74), (59, 73), (60, 73), (60, 72), (60, 71), (61, 71), (61, 70), (62, 70), (62, 69), (62, 68), (62, 67), (63, 67), (63, 66), (64, 66), (64, 65), (65, 65), (66, 65), (66, 64), (67, 64), (68, 64), (68, 63), (68, 62), (68, 61), (68, 60), (67, 60), (67, 59), (67, 58), (67, 57), (68, 57), (68, 56), (68, 55), (68, 54), (68, 53), (68, 52), (67, 52), (67, 51), (66, 51), (65, 51), (65, 50), (64, 50), (63, 50), (62, 50), (62, 49), (61, 49), (61, 48), (60, 48), (59, 48), (59, 47), (58, 47), (58, 46), (57, 46), (57, 45), (57, 44), (58, 44), (58, 44)]"
93,"[(150, 177), (149, 177), (149, 176), (148, 176), (147, 176), (147, 175), (146, 175), (145, 175), (145, 174), (144, 174), (143, 174), (142, 174), (142, 175), (141, 175), (140, 175), (140, 176), (140, 177), (140, 178), (140, 179), (140, 180), (140, 181), (139, 181), (138, 181), (138, 181)]"
94,"[(44, 64), (44, 63), (44, 62), (43, 62), (43, 61), (42, 61), (42, 60), (41, 60), (41, 59), (40, 59), (40, 58), (39, 58), (38, 58), (38, 57), (38, 56), (38, 55), (38, 54), (38, 53), (37, 53), (37, 52), (36, 52), (35, 52), (34, 52), (34, 53), (33, 53), (32, 53), (32, 54), (31, 54), (30, 54), (29, 54), (29, 55), (28, 55), (27, 55), (26, 55), (25, 55), (24, 55), (24, 56), (24, 57), (23, 57), (23, 58), (22, 58), (22, 59), (21, 59), (21, 60), (20, 60), (20, 61), (20, 62), (20, 63), (20, 64), (20, 65), (21, 65), (21, 66), (21, 67), (21, 68), (21, 69), (22, 69), (22, 70), (23, 70), (23, 71), (24, 71), (24, 72), (25, 72), (25, 73), (25, 74), (26, 74), (26, 75), (27, 75), (27, 76), (27, 77), (27, 78), (28, 78), (28, 79), (28, 80), (28, 81), (28, 82), (29, 82), (29, 83), (29, 84), (30, 84), (30, 85), (30, 86), (30, 87), (29, 87), (29, 88), (29, 89), (29, 90), (30, 90), (31, 90), (31, 89), (32, 89), (33, 89), (34, 89), (34, 90), (35, 90), (35, 91), (36, 91), (36, 92), (36, 93), (37, 93), (37, 94), (37, 95), (37, 96), (38, 96), (39, 96), (40, 96), (41, 96), (42, 96), (42, 95), (43, 95), (44, 95), (45, 95), (45, 94), (46, 94), (47, 94), (47, 93), (48, 93), (48, 92), (49, 92), (49, 91), (49, 90), (48, 90), (48, 89), (48, 89)]"
95,"[(129, 50), (129, 51), (130, 51), (131, 51), (131, 52), (131, 53), (131, 54), (130, 54), (130, 55), (130, 56), (130, 57), (130, 58), (129, 58), (129, 59), (128, 59), (128, 60), (128, 61), (127, 61), (127, 62), (126, 62), (126, 63), (125, 63), (124, 63), (124, 64), (123, 64), (123, 65), (123, 66), (123, 67), (123, 68), (124, 68), (124, 69), (124, 70), (124, 71), (124, 72), (124, 73), (124, 74), (124, 75), (125, 75), (125, 76), (125, 77), (125, 78), (126, 78), (126, 79), (126, 80), (126, 81), (126, 82), (126, 83), (126, 84), (126, 85), (126, 86), (126, 87), (125, 87), (125, 88), (125, 89), (125, 90), (126, 90), (126, 91), (126, 92), (126, 93), (126, 94), (126, 95), (125, 95), (125, 96), (125, 97), (125, 98), (125, 99), (125, 100), (125, 101), (125, 102), (126, 102), (127, 102), (128, 102), (128, 101), (129, 101), (130, 101), (131, 101), (131, 100), (132, 100), (133, 100), (133, 99), (134, 99), (135, 99), (135, 98), (136, 98), (136, 97), (137, 97), (138, 97), (138, 96), (139, 96), (139, 95), (140, 95), (141, 95), (141, 94), (142, 94), (143, 94), (144, 94), (145, 94), (145, 93), (146, 93), (146, 92), (147, 92), (147, 91), (147, 90), (147, 89), (148, 89), (148, 88), (148, 87), (148, 86), (149, 86), (149, 85), (150, 85), (151, 85), (151, 84), (152, 84), (153, 84), (154, 84), (155, 84), (155, 83), (156, 83), (157, 83), (158, 83), (158, 82), (158, 81), (159, 81), (159, 80), (159, 79), (160, 79), (161, 79), (161, 78), (162, 78), (162, 77), (163, 77), (164, 77), (165, 77), (166, 77), (166, 78), (167, 78), (168, 78), (169, 78), (170, 78), (171, 78), (172, 78), (172, 79), (172, 80), (172, 81), (172, 82), (172, 83), (173, 83), (173, 84), (173, 85), (174, 85), (174, 86), (174, 87), (175, 87), (176, 87), (176, 86), (177, 86), (178, 86), (179, 86), (180, 86), (180, 87), (181, 87), (182, 87), (183, 87), (183, 87)]"
96,"[(48, 89), (48, 90), (49, 90), (49, 91), (49, 92), (48, 92), (48, 93), (47, 93), (47, 94), (46, 94), (45, 94), (45, 95), (44, 95), (43, 95), (42, 95), (42, 96), (41, 96), (40, 96), (39, 96), (38, 96), (37, 96), (37, 95), (37, 94), (37, 93), (36, 93), (36, 92), (36, 91), (35, 91), (35, 90), (34, 90), (34, 89), (33, 89), (32, 89), (31, 89), (31, 90), (30, 90), (29, 90), (29, 89), (29, 88), (29, 87), (30, 87), (30, 86), (30, 85), (30, 84), (29, 84), (29, 83), (29, 82), (28, 82), (28, 81), (28, 80), (28, 79), (28, 78), (27, 78), (27, 77), (27, 76), (27, 75), (26, 75), (26, 74), (25, 74), (25, 73), (25, 72), (24, 72), (24, 71), (23, 71), (23, 70), (22, 70), (22, 69), (21, 69), (21, 68), (21, 67), (21, 66), (21, 65), (20, 65), (20, 64), (20, 63), (20, 62), (20, 61), (20, 60), (21, 60), (21, 59), (22, 59), (22, 58), (23, 58), (23, 57), (24, 57), (24, 56), (24, 55), (24, 54), (24, 54)]"
97,"[(129, 50), (129, 51), (130, 51), (131, 51), (131, 52), (131, 53), (131, 54), (130, 54), (130, 55), (130, 56), (130, 57), (130, 58), (129, 58), (129, 59), (128, 59), (128, 60), (128, 61), (127, 61), (127, 62), (126, 62), (126, 63), (125, 63), (124, 63), (124, 64), (123, 64), (123, 65), (123, 66), (123, 67), (123, 68), (124, 68), (124, 69), (124, 70), (124, 71), (124, 72), (124, 73), (124, 74), (124, 75), (125, 75), (125, 76), (125, 77), (125, 78), (126, 78), (126, 79), (126, 80), (126, 81), (126, 82), (126, 83), (126, 84), (126, 85), (126, 86), (126, 87), (125, 87), (125, 88), (125, 89), (125, 90), (126, 90), (126, 91), (126, 92), (127, 92), (128, 92), (128, 91), (128, 90), (129, 90), (129, 89), (130, 89), (130, 88), (130, 87), (130, 86), (130, 85), (131, 85), (131, 84), (131, 83), (131, 82), (131, 81), (131, 80), (131, 79), (132, 79), (132, 78), (132, 77), (133, 77), (133, 76), (134, 76), (134, 75), (134, 74), (135, 74), (136, 74), (136, 75), (136, 76), (137, 76), (138, 76), (139, 76), (139, 75), (139, 74), (140, 74), (140, 73), (140, 72), (141, 72), (141, 71), (142, 71), (142, 70), (143, 70), (143, 69), (144, 69), (144, 68), (145, 68), (146, 68), (146, 67), (146, 66), (147, 66), (147, 65), (148, 65), (148, 64), (149, 64), (149, 63), (149, 62), (150, 62), (151, 62), (152, 62), (153, 62), (154, 62), (154, 63), (155, 63), (156, 63), (156, 62), (157, 62), (158, 62), (159, 62), (160, 62), (161, 62), (162, 62), (163, 62), (164, 62), (164, 61), (165, 61), (166, 61), (166, 60), (167, 60), (167, 59), (168, 59), (168, 58), (168, 57), (168, 56), (169, 56), (169, 55), (170, 55), (170, 54), (171, 54), (171, 53), (172, 53), (172, 52), (173, 52), (173, 51), (173, 50), (174, 50), (174, 49), (175, 49), (176, 49), (176, 48), (177, 48), (178, 48), (179, 48), (180, 48), (181, 48), (182, 48), (183, 48), (183, 48)]"
98,"[(183, 87), (183, 87)]"
99,"[(17, 67), (17, 67)]"
100,"[(17, 67), (18, 67), (18, 68), (19, 68), (20, 68), (21, 68), (21, 67), (21, 66), (21, 65), (20, 65), (20, 64), (20, 63), (20, 62), (20, 61), (20, 60), (21, 60), (21, 59), (22, 59), (22, 58), (23, 58), (23, 57), (24, 57), (24, 56), (24, 55), (24, 54), (24, 53), (23, 53), (22, 53), (22, 52), (22, 51), (22, 50), (22, 49), (23, 49), (23, 48), (24, 48), (24, 47), (25, 47), (25, 46), (26, 46), (26, 45), (27, 45), (27, 44), (28, 44), (29, 44), (29, 43), (30, 43), (30, 42), (30, 41), (30, 40), (30, 39), (30, 38), (29, 38), (29, 37), (29, 36), (28, 36), (28, 35), (27, 35), (27, 34), (26, 34), (26, 33), (26, 32), (25, 32), (25, 31), (25, 30), (24, 30), (24, 29), (23, 29), (23, 28), (22, 28), (22, 27), (21, 27), (21, 26), (20, 26), (20, 25), (19, 25), (19, 24), (19, 24)]"
101,"[(52, 41), (53, 41), (54, 41), (55, 41), (55, 42), (56, 42), (56, 43), (56, 44), (57, 44), (57, 45), (57, 46), (58, 46), (58, 47), (59, 47), (59, 48), (60, 48), (61, 48), (61, 49), (62, 49), (62, 50), (63, 50), (64, 50), (65, 50), (65, 51), (66, 51), (67, 51), (67, 52), (68, 52), (68, 53), (68, 54), (68, 55), (68, 56), (68, 57), (67, 57), (67, 58), (67, 59), (67, 60), (68, 60), (68, 61), (68, 62), (68, 63), (68, 64), (67, 64), (66, 64), (66, 65), (65, 65), (64, 65), (64, 66), (63, 66), (63, 67), (62, 67), (62, 68), (62, 69), (62, 70), (61, 70), (61, 71), (60, 71), (60, 72), (60, 73), (59, 73), (59, 74), (58, 74), (58, 75), (57, 75), (57, 76), (56, 76), (56, 77), (56, 78), (56, 79), (56, 80), (56, 81), (55, 81), (55, 82), (55, 83), (55, 84), (56, 84), (56, 85), (56, 86), (55, 86), (54, 86), (54, 87), (53, 87), (53, 88), (53, 89), (52, 89), (52, 90), (51, 90), (51, 91), (50, 91), (49, 91), (49, 92), (48, 92), (48, 93), (47, 93), (47, 94), (46, 94), (45, 94), (45, 95), (44, 95), (43, 95), (42, 95), (42, 96), (41, 96), (40, 96), (39, 96), (38, 96), (37, 96), (37, 95), (37, 94), (37, 93), (36, 93), (36, 92), (36, 91), (35, 91), (35, 90), (34, 90), (34, 89), (33, 89), (32, 89), (31, 89), (31, 90), (30, 90), (29, 90), (29, 89), (29, 88), (29, 87), (30, 87), (30, 86), (30, 85), (30, 84), (29, 84), (29, 83), (29, 82), (28, 82), (28, 81), (28, 80), (28, 79), (28, 78), (27, 78), (27, 77), (27, 76), (27, 75), (26, 75), (26, 74), (25, 74), (25, 73), (25, 72), (24, 72), (24, 71), (23, 71), (23, 70), (22, 70), (22, 69), (21, 69), (21, 68), (21, 67), (21, 66), (21, 65), (20, 65), (20, 64), (20, 63), (20, 62), (20, 61), (20, 60), (21, 60), (21, 59), (22, 59), (22, 58), (23, 58), (23, 57), (24, 57), (24, 56), (24, 55), (24, 54), (24, 54)]"
102,"[(45, 68), (45, 69), (46, 69), (47, 69), (47, 70), (48, 70), (48, 71), (49, 71), (49, 72), (50, 72), (50, 73), (51, 73), (51, 74), (52, 74), (52, 75), (53, 75), (54, 75), (54, 76), (55, 76), (56, 76), (56, 77), (56, 78), (56, 79), (56, 80), (56, 81), (55, 81), (55, 82), (55, 83), (55, 84), (56, 84), (56, 85), (56, 86), (55, 86), (54, 86), (54, 87), (53, 87), (53, 88), (53, 89), (52, 89), (52, 90), (51, 90), (51, 91), (50, 91), (49, 91), (49, 92), (48, 92), (48, 93), (47, 93), (47, 94), (46, 94), (45, 94), (45, 95), (44, 95), (43, 95), (42, 95), (42, 96), (41, 96), (40, 96), (39, 96), (38, 96), (37, 96), (37, 95), (37, 94), (37, 93), (36, 93), (36, 92), (36, 91), (35, 91), (35, 90), (34, 90), (34, 89), (33, 89), (32, 89), (31, 89), (31, 90), (30, 90), (29, 90), (29, 89), (29, 88), (29, 87), (30, 87), (30, 86), (30, 85), (30, 84), (29, 84), (29, 83), (29, 82), (28, 82), (28, 81), (28, 80), (28, 79), (28, 78), (27, 78), (27, 77), (27, 76), (27, 75), (26, 75), (26, 74), (25, 74), (25, 73), (25, 72), (24, 72), (24, 71), (23, 71), (23, 70), (22, 70), (22, 69), (21, 69), (21, 68), (21, 67), (21, 66), (21, 65), (20, 65), (20, 64), (20, 63), (20, 62), (20, 61), (20, 60), (21, 60), (21, 59), (22, 59), (22, 58), (23, 58), (23, 57), (24, 57), (24, 56), (24, 55), (24, 54), (24, 54)]"
103,"[(136, 137), (136, 137)]"
104,"[(124, 111), (124, 111)]"
105,"[(183, 87), (182, 87), (181, 87), (180, 87), (180, 86), (179, 86), (178, 86), (177, 86), (176, 86), (176, 87), (175, 87), (174, 87), (174, 86), (174, 85), (173, 85), (173, 84), (173, 83), (172, 83), (172, 82), (172, 81), (172, 80), (172, 79), (172, 78), (171, 78), (170, 78), (169, 78), (168, 78), (167, 78), (166, 78), (166, 77), (165, 77), (164, 77), (163, 77), (162, 77), (162, 78), (161, 78), (161, 79), (160, 79), (159, 79), (159, 80), (159, 81), (158, 81), (158, 82), (158, 83), (157, 83), (156, 83), (155, 83), (155, 84), (154, 84), (153, 84), (152, 84), (151, 84), (151, 85), (150, 85), (149, 85), (149, 86), (148, 86), (148, 87), (148, 88), (148, 89), (147, 89), (147, 90), (147, 91), (147, 92), (146, 92), (146, 93), (145, 93), (145, 94), (144, 94), (143, 94), (142, 94), (141, 94), (141, 95), (140, 95), (139, 95), (139, 96), (138, 96), (138, 97), (137, 97), (136, 97), (136, 98), (135, 98), (135, 99), (134, 99), (133, 99), (133, 100), (132, 100), (131, 100), (131, 101), (130, 101), (129, 101), (128, 101), (128, 102), (127, 102), (126, 102), (125, 102), (125, 103), (125, 104), (125, 105), (125, 106), (124, 106), (124, 107), (124, 108), (124, 109), (124, 110), (124, 111), (124, 111)]"
106,"[(52, 41), (53, 41), (54, 41), (55, 41), (55, 42), (56, 42), (56, 43), (56, 44), (57, 44), (57, 45), (57, 46), (58, 46), (58, 47), (59, 47), (59, 48), (60, 48), (61, 48), (61, 49), (62, 49), (62, 50), (63, 50), (64, 50), (65, 50), (65, 51), (66, 51), (67, 51), (67, 52), (68, 52), (68, 53), (68, 54), (68, 55), (68, 56), (68, 57), (67, 57), (67, 58), (67, 59), (67, 60), (68, 60), (68, 61), (68, 62), (68, 63), (68, 64), (67, 64), (66, 64), (66, 65), (65, 65), (64, 65), (64, 66), (63, 66), (63, 67), (62, 67), (62, 68), (62, 69), (62, 70), (61, 70), (61, 71), (60, 71), (60, 72), (60, 73), (59, 73), (59, 74), (58, 74), (58, 75), (57, 75), (57, 76), (56, 76), (56, 77), (56, 78), (56, 79), (56, 80), (56, 81), (55, 81), (55, 82), (55, 83), (55, 84), (56, 84), (56, 85), (56, 86), (55, 86), (54, 86), (54, 87), (53, 87), (53, 88), (53, 89), (52, 89), (52, 90), (51, 90), (51, 91), (50, 91), (49, 91), (49, 92), (48, 92), (48, 93), (47, 93), (47, 94), (46, 94), (45, 94), (45, 95), (44, 95), (43, 95), (42, 95), (42, 96), (41, 96), (40, 96), (39, 96), (38, 96), (37, 96), (37, 95), (37, 94), (37, 93), (36, 93), (36, 92), (36, 91), (35, 91), (35, 90), (34, 90), (34, 89), (33, 89), (32, 89), (31, 89), (31, 90), (30, 90), (29, 90), (29, 89), (29, 88), (29, 87), (30, 87), (30, 86), (30, 85), (30, 84), (29, 84), (29, 83), (29, 82), (28, 82), (28, 81), (28, 80), (28, 79), (28, 78), (27, 78), (27, 77), (27, 76), (27, 75), (26, 75), (26, 74), (25, 74), (25, 73), (25, 72), (24, 72), (24, 71), (23, 71), (23, 70), (22, 70), (22, 69), (21, 69), (21, 68), (21, 67), (21, 66), (21, 65), (20, 65), (20, 64), (20, 63), (20, 62), (20, 61), (20, 60), (21, 60), (21, 59), (22, 59), (22, 58), (23, 58), (23, 57), (24, 57), (24, 56), (24, 55), (25, 55), (26, 55), (27, 55), (28, 55), (29, 55), (29, 54), (30, 54), (31, 54), (32, 54), (32, 53), (33, 53), (34, 53), (34, 52), (35, 52), (36, 52), (37, 52), (37, 53), (38, 53), (38, 54), (38, 55), (38, 56), (38, 57), (38, 58), (39, 58), (40, 58), (40, 59), (41, 59), (41, 60), (42, 60), (42, 61), (43, 61), (43, 62), (44, 62), (44, 63), (44, 64), (44, 64)]"
107,"[(116, 151), (115, 151), (115, 150), (115, 149), (115, 148), (114, 148), (114, 147), (114, 146), (114, 145), (114, 144), (115, 144), (115, 143), (115, 142), (115, 141), (115, 140), (114, 140), (114, 139), (114, 138), (114, 137), (114, 136), (114, 135), (115, 135), (115, 134), (115, 133), (115, 132), (114, 132), (113, 132), (113, 131), (113, 130), (112, 130), (112, 129), (112, 128), (111, 128), (111, 127), (110, 127), (110, 126), (109, 126), (109, 125), (108, 125), (108, 124), (108, 123), (107, 123), (107, 122), (107, 121), (106, 121), (106, 120), (106, 119), (105, 119), (105, 118), (104, 118), (104, 117), (103, 117), (103, 116), (103, 115), (102, 115), (102, 114), (101, 114), (101, 113), (100, 113), (100, 112), (99, 112), (99, 111), (99, 110), (98, 110), (98, 109), (97, 109), (97, 108), (97, 107), (96, 107), (96, 106), (96, 105), (95, 105), (95, 104), (95, 103), (94, 103), (94, 102), (94, 101), (94, 100), (93, 100), (93, 99), (93, 98), (93, 97), (93, 96), (93, 95), (93, 94), (93, 93), (93, 92), (92, 92), (92, 91), (92, 90), (91, 90), (90, 90), (89, 90), (89, 89), (89, 88), (90, 88), (90, 87), (90, 86), (90, 85), (91, 85), (91, 84), (91, 83), (91, 82), (91, 81), (91, 80), (90, 80), (90, 79), (89, 79), (89, 78), (88, 78), (88, 77), (88, 76), (87, 76), (87, 75), (86, 75), (86, 74), (86, 73), (85, 73), (85, 72), (85, 71), (86, 71), (86, 70), (86, 69), (86, 68), (86, 67), (86, 66), (85, 66), (85, 65), (85, 64), (84, 64), (84, 63), (83, 63), (83, 62), (82, 62), (82, 61), (81, 61), (81, 60), (81, 59), (81, 58), (80, 58), (80, 57), (79, 57), (79, 56), (78, 56), (78, 55), (78, 54), (77, 54), (77, 53), (77, 52), (76, 52), (76, 51), (76, 50), (75, 50), (75, 49), (74, 49), (74, 48), (74, 47), (73, 47), (73, 46), (72, 46), (72, 45), (71, 45), (71, 44), (71, 43), (70, 43), (70, 42), (70, 41), (69, 41), (69, 40), (69, 39), (68, 39), (68, 38), (68, 37), (67, 37), (67, 36), (67, 35), (66, 35), (66, 34), (66, 33), (65, 33), (64, 33), (64, 32), (64, 31), (64, 30), (64, 29), (63, 29), (63, 28), (63, 27), (63, 26), (63, 25), (64, 25), (64, 25)]"
108,"[(65, 144), (65, 144)]"
109,"[(115, 167), (115, 167)]"
110,"[(62, 13), (62, 13)]"
111,"[(63, 33), (64, 33), (65, 33), (66, 33), (66, 34), (66, 35), (67, 35), (67, 36), (67, 37), (68, 37), (68, 38), (68, 39), (69, 39), (69, 40), (69, 41), (70, 41), (70, 42), (70, 43), (71, 43), (71, 44), (71, 45), (72, 45), (72, 46), (73, 46), (73, 47), (74, 47), (74, 48), (74, 49), (75, 49), (75, 50), (76, 50), (76, 51), (76, 52), (77, 52), (77, 53), (77, 54), (78, 54), (78, 55), (78, 56), (79, 56), (79, 57), (80, 57), (80, 58), (81, 58), (81, 59), (81, 60), (81, 61), (82, 61), (82, 62), (83, 62), (83, 63), (84, 63), (84, 64), (85, 64), (85, 65), (85, 66), (86, 66), (86, 67), (86, 68), (86, 69), (86, 70), (86, 71), (85, 71), (85, 72), (85, 73), (84, 73), (84, 74), (83, 74), (83, 75), (83, 76), (83, 77), (83, 78), (82, 78), (82, 79), (82, 80), (82, 81), (81, 81), (81, 82), (80, 82), (80, 83), (80, 84), (79, 84), (79, 85), (78, 85), (77, 85), (77, 86), (76, 86), (76, 87), (75, 87), (75, 88), (75, 89), (75, 90), (74, 90), (74, 91), (73, 91), (73, 92), (73, 93), (72, 93), (72, 94), (71, 94), (71, 95), (70, 95), (69, 95), (69, 96), (69, 97), (69, 98), (69, 98)]"
112,"[(115, 167), (115, 166), (115, 165), (115, 164), (115, 163), (115, 162), (115, 161), (115, 160), (115, 159), (115, 158), (115, 157), (115, 156), (115, 155), (115, 154), (115, 153), (115, 152), (115, 151), (115, 150), (115, 149), (115, 148), (114, 148), (114, 147), (114, 146), (114, 145), (114, 144), (115, 144), (115, 143), (115, 142), (115, 141), (115, 140), (114, 140), (114, 139), (114, 138), (114, 137), (114, 136), (114, 135), (115, 135), (115, 134), (115, 133), (115, 132), (114, 132), (113, 132), (113, 131), (113, 130), (112, 130), (112, 129), (112, 128), (111, 128), (111, 127), (110, 127), (110, 126), (109, 126), (109, 125), (108, 125), (107, 125), (106, 125), (105, 125), (104, 125), (103, 125), (103, 126), (102, 126), (101, 126), (100, 126), (99, 126), (98, 126), (97, 126), (97, 125), (96, 125), (96, 124), (95, 124), (95, 123), (95, 122), (94, 122), (93, 122), (93, 123), (92, 123), (92, 124), (91, 124), (90, 124), (90, 125), (90, 126), (89, 126), (88, 126), (87, 126), (87, 125), (86, 125), (86, 124), (85, 124), (85, 123), (84, 123), (84, 122), (83, 122), (83, 121), (82, 121), (82, 120), (82, 119), (81, 119), (81, 118), (80, 118), (80, 117), (79, 117), (79, 116), (78, 116), (78, 115), (78, 114), (77, 114), (76, 114), (76, 113), (76, 112), (75, 112), (75, 111), (74, 111), (74, 110), (73, 110), (73, 109), (73, 108), (72, 108), (72, 107), (72, 106), (71, 106), (71, 105), (70, 105), (70, 104), (69, 104), (69, 103), (69, 102), (69, 101), (69, 100), (69, 99), (69, 98), (69, 98)]"
113,"[(69, 98), (69, 98)]"
114,"[(150, 177), (149, 177), (149, 176), (148, 176), (147, 176), (147, 175), (146, 175), (145, 175), (145, 174), (144, 174), (143, 174), (142, 174), (142, 175), (141, 175), (140, 175), (140, 174), (140, 173), (140, 172), (140, 171), (140, 170), (140, 169), (139, 169), (139, 168), (139, 167), (138, 167), (138, 166), (137, 166), (136, 166), (136, 165), (136, 164), (135, 164), (135, 163), (135, 162), (134, 162), (134, 161), (134, 160), (135, 160), (135, 159), (135, 158), (135, 157), (135, 156), (134, 156), (133, 156), (133, 155), (133, 154), (133, 153), (133, 152), (133, 151), (133, 150), (133, 149), (133, 148), (132, 148), (132, 147), (132, 146), (132, 145), (132, 144), (132, 143), (132, 142), (133, 142), (133, 141), (133, 140), (134, 140), (134, 139), (134, 138), (133, 138), (133, 137), (133, 136), (133, 135), (133, 134), (134, 134), (135, 134), (135, 133), (136, 133), (136, 132), (137, 132), (138, 132), (138, 131), (139, 131), (139, 130), (140, 130), (140, 129), (140, 128), (141, 128), (141, 127), (141, 126), (142, 126), (142, 125), (142, 124), (143, 124), (143, 123), (144, 123), (145, 123), (146, 123), (147, 123), (147, 124), (148, 124), (148, 125), (149, 125), (150, 125), (151, 125), (152, 125), (153, 125), (154, 125), (154, 124), (155, 124), (155, 123), (156, 123), (157, 123), (157, 122), (158, 122), (159, 122), (159, 121), (160, 121), (161, 121), (162, 121), (163, 121), (163, 120), (164, 120), (164, 119), (165, 119), (165, 118), (166, 118), (166, 117), (166, 116), (166, 115), (166, 114), (165, 114), (164, 114), (164, 114)]"
115,"[(52, 41), (53, 41), (54, 41), (55, 41), (55, 42), (56, 42), (56, 43), (56, 44), (57, 44), (57, 45), (57, 46), (58, 46), (58, 47), (59, 47), (59, 48), (60, 48), (61, 48), (61, 49), (62, 49), (62, 50), (63, 50), (64, 50), (65, 50), (65, 51), (66, 51), (67, 51), (67, 52), (68, 52), (68, 53), (68, 54), (68, 55), (68, 56), (68, 57), (67, 57), (67, 58), (67, 59), (67, 60), (68, 60), (68, 61), (68, 62), (68, 63), (68, 64), (67, 64), (66, 64), (66, 65), (65, 65), (64, 65), (64, 66), (63, 66), (63, 67), (62, 67), (62, 68), (62, 69), (62, 70), (61, 70), (61, 71), (60, 71), (60, 72), (60, 73), (59, 73), (59, 74), (58, 74), (58, 75), (57, 75), (57, 76), (56, 76), (55, 76), (54, 76), (54, 75), (53, 75), (52, 75), (52, 74), (51, 74), (51, 73), (50, 73), (50, 72), (49, 72), (49, 71), (48, 71), (48, 70), (47, 70), (47, 69), (46, 69), (45, 69), (45, 68), (45, 68)]"
